day,susceptible,infected,recovered
0,1.0000e+00,2.4667e-06,2.0000e-07
2,1.0000e+00,3.0422e-06,4.4667e-07
3,1.0000e+00,3.7521e-06,7.5089e-07
4,1.0000e+00,4.6276e-06,1.1261e-06
5,9.9999e-01,5.7073e-06,1.5889e-06
6,9.9999e-01,7.0390e-06,2.1596e-06
7,9.9999e-01,8.6814e-06,2.8635e-06
8,9.9999e-01,1.0707e-05,3.7316e-06
9,9.9998e-01,1.3205e-05,4.8023e-06
10,9.9998e-01,1.6287e-05,6.1229e-06
11,9.9997e-01,2.0087e-05,7.7515e-06
12,9.9997e-01,2.4773e-05,9.7602e-06
13,9.9996e-01,3.0553e-05,1.2237e-05
14,9.9995e-01,3.7682e-05,1.5293e-05
15,9.9994e-01,4.6474e-05,1.9061e-05
16,9.9992e-01,5.7317e-05,2.3708e-05
17,9.9990e-01,7.0689e-05,2.9440e-05
18,9.9988e-01,8.7181e-05,3.6509e-05
19,9.9985e-01,1.0752e-04,4.5227e-05
20,9.9981e-01,1.3260e-04,5.5979e-05
21,9.9977e-01,1.6354e-04,6.9239e-05
22,9.9971e-01,2.0168e-04,8.5593e-05
23,9.9965e-01,2.4872e-04,1.0576e-04
24,9.9956e-01,3.0673e-04,1.3063e-04
25,9.9946e-01,3.7825e-04,1.6131e-04
26,9.9934e-01,4.6644e-04,1.9913e-04
27,9.9918e-01,5.7517e-04,2.4577e-04
28,9.9899e-01,7.0922e-04,3.0329e-04
29,9.9875e-01,8.7447e-04,3.7421e-04
30,9.9846e-01,1.0782e-03,4.6166e-04
31,9.9810e-01,1.3292e-03,5.6948e-04
32,9.9766e-01,1.6385e-03,7.0239e-04
33,9.9712e-01,2.0195e-03,8.6624e-04
34,9.9645e-01,2.4888e-03,1.0682e-03
35,9.9562e-01,3.0665e-03,1.3171e-03
36,9.9460e-01,3.7776e-03,1.6237e-03
37,9.9335e-01,4.6522e-03,2.0015e-03
38,9.9181e-01,5.7274e-03,2.4667e-03
